Message Type,Device_ID,Sequence Number,Timestamp,Batch Count,Valid Checksum,Arrival,Duplicate Flag,Gap Flag,Bytes Per Report,CPU Time Per Report(ms)
1,1,196,1765554516,3,True,1765554516.3982432,0,0,72,0.3084000200033188
1,1,197,1765554517,2,True,1765554517.3989353,0,0,53,0.454099994385615
1,1,198,1765554518,3,True,1765554518.399496,0,0,74,0.42729999404400587
1,1,199,1765554519,2,True,1765554519.39994,0,0,53,0.3072999825235456
1,1,200,1765554520,1,True,1765554520.4003499,0,0,32,0.21240001660771668
1,1,201,1765554521,1,True,1765554521.4006476,0,0,31,0.1957999775186181
1,1,202,1765554523,1,True,1765554523.4012477,0,0,31,0.20129999029450119
1,1,203,1765554524,1,True,1765554524.4015744,0,0,32,0.2075999800581485
1,1,204,1765554525,1,True,1765554525.40208,0,0,32,0.21050000214017928
1,1,205,1765554526,3,True,1765554526.4024673,0,0,72,0.37850000080652535
1,1,206,1765554527,2,True,1765554527.4028654,0,0,52,0.3079000161960721
1,1,207,1765554528,1,True,1765554528.4034097,0,0,32,0.22119999630376697
1,1,208,1765554529,3,True,1765554529.4039016,0,0,74,0.3782999992836267
1,1,209,1765554530,3,True,1765554530.4043937,0,0,73,0.4169000021647662
1,1,210,1765554531,1,True,1765554531.4048367,0,0,32,0.19880000036209822
1,1,211,1765554532,1,True,1765554532.4052653,0,0,32,0.20740000763908029
