Message Type,Device_ID,Sequence Number,Timestamp,Batch Count,Valid Checksum,Arrival,Duplicate Flag,Gap Flag,Bytes Per Report,CPU Time Per Report(ms)
1,1,1,1765563324,3,True,1765563324.1660628,0,0,74,0.10393900083727203
1,1,2,1765563324,1,True,1765563324.2277086,0,0,31,0.06014800055709202
1,1,3,1765563324,1,True,1765563324.2452245,0,0,32,0.048783999773149844
1,1,4,1765563324,3,True,1765563324.2710185,0,0,74,0.06499900064227404
1,1,5,1765563324,1,True,1765563324.2975667,0,0,32,0.05065400000603404
1,1,6,1765563324,1,True,1765563324.304763,0,0,32,0.03765899964491837
1,1,7,1765563324,1,True,1765563324.3225026,0,0,32,0.04756900034408318
1,1,8,1765563324,2,True,1765563324.354473,0,0,53,0.06642300013481872
1,1,9,1765563324,3,True,1765563324.3605564,0,0,72,0.06130600013420917
1,1,10,1765563324,2,True,1765563324.3875804,0,0,53,0.05253400013316423
1,1,11,1765563324,3,True,1765563324.4031785,0,0,74,0.06829199992353097
1,1,12,1765563324,1,True,1765563324.43521,0,0,32,0.05060700004833052
1,1,13,1765563324,1,True,1765563324.4601936,0,0,32,0.05734699971071677
1,1,14,1765563324,2,True,1765563324.4813986,0,0,53,0.05624599998554913
1,1,15,1765563324,2,True,1765563324.5179343,0,0,52,0.07680700036871713
1,1,16,1765563324,3,True,1765563324.533394,0,0,73,0.057469999774184544
1,1,17,1765563324,3,True,1765563324.5548,0,0,74,0.09617400064598769
1,1,18,1765563324,3,True,1765563324.579632,0,0,72,0.06886299979669275
1,1,19,1765563324,1,True,1765563324.591737,0,0,32,0.052571999731299
1,1,20,1765563324,3,True,1765563324.6132717,0,0,72,0.0825039996925625
1,1,21,1765563324,3,True,1765563324.641497,0,0,74,0.08912000066629844
1,1,22,1765563324,3,True,1765563324.6494582,0,0,73,0.06715299969073385
1,1,23,1765563324,3,True,1765563324.66518,0,0,73,0.0755360006223782
1,1,24,1765563324,3,True,1765563324.6981459,0,0,73,0.09802500062505715
1,1,25,1765563324,3,True,1765563324.7140448,0,0,73,0.060119999943708535
1,1,26,1765563324,2,True,1765563324.7594924,0,0,53,0.06470399966929108
1,1,27,1765563324,1,True,1765563324.8217485,0,0,31,0.045803999455529265
1,1,28,1765563324,3,True,1765563324.830065,0,0,73,0.06601400036743144
1,1,29,1765563324,3,True,1765563324.8445141,0,0,73,0.06943200060050003
1,1,30,1765563324,1,True,1765563324.866369,0,0,32,0.04157000057603
1,1,31,1765563324,3,True,1765563324.912103,0,0,74,0.07829799960745731
1,1,32,1765563324,1,True,1765563324.9373314,0,0,32,0.03925400051230099
1,1,33,1765563324,2,True,1765563324.9468505,0,0,53,0.06525499975396087
1,1,34,1765563324,2,True,1765563324.9644926,0,0,53,0.04911700034426758
1,1,35,1765563324,2,True,1765563324.992572,0,0,53,0.06749499971192563
